question,choices,subject,answer
نیش توازن میں،,سپلائی وکر ڈیمانڈ وکر کو کاٹتا ہے۔|کسی بھی فریق کو اپنی حکمت عملی سے ہٹنے کی ترغیب نہیں ہے۔|معمولی آمدنی کا منحنی خطوط لاگت کے منحنی خطوط کو کاٹتا ہے۔|توازن غیر مستحکم ہے اور ہر فریق حکمت عملی کو تبدیل کرنا چاہے گا۔,high_school_microeconomics,1
آپ کو بتایا گیا ہے کہ سامان X اور Y کے درمیان کراس قیمت کی لچک +2.0 ہے۔ اس کا مطلب ہے کہ,سامان X اور Y عام سامان ہیں۔|سامان X اور Y کمتر سامان ہیں۔|سامان X اور Y تکمیلی اشیا ہیں۔|سامان X اور Y متبادل سامان ہیں۔,high_school_microeconomics,3
ایک خارجیت,توازن کی قیمت مصنوعی طور پر زیادہ ہونے کا سبب بنتا ہے۔|توازن کی قیمت کو مصنوعی طور پر کم کرنے کا سبب بنتا ہے۔|اس وقت موجود ہوتا ہے جب مارکیٹیں توازن تک نہیں پہنچ سکتیں۔|اس کے نتیجے میں ایک توازن پیدا ہوتا ہے جو معاشرے کو زیادہ سے زیادہ فائدہ نہیں پہنچاتا ہے۔,high_school_microeconomics,3
کیا ایک وجہ ہے کہ حکومت ایک ہی صنعت میں بڑی فرموں کے درمیان ملی بھگت کی حوصلہ شکنی کرتی ہے؟,اجتماعی پیداوار کی سطحوں میں اضافہ ہوتا ہے، قیمت کو مسابقتی سطحوں سے اوپر لے جاتی ہے۔|قیمت نیچے کی طرف بڑھنے سے صارفین کا سرپلس گر جاتا ہے۔|اجتماعی پیداوار کی سطحیں کم ہوتی ہیں، قیمت کو مسابقتی سطح تک لے جاتی ہے۔|مشترکہ منافع کو زیادہ سے زیادہ کرنے سے معاشرے میں صارفین کی اضافی لاگت آتی ہے کیونکہ قیمت مسابقتی سطحوں سے بڑھ جاتی ہے۔,high_school_microeconomics,3
مندرجہ ذیل میں سے کون سی وضاحت کرتا ہے کہ جب حریف فرمیں قیمت میں کمی کی پیروی کرتی ہیں لیکن قیمت میں اضافہ نہیں کرتی ہیں تو ایک اولیگوپولسٹ کا سامنا کرنا پڑتا ہے؟,بالکل افقی ڈیمانڈ وکر۔|انتہائی غیر لچکدار مطالبہ وکر۔|انتہائی لچکدار مطالبہ وکر.|دو منقطع حصوں پر مشتمل ایک مطالبہ وکر۔,high_school_microeconomics,3
مندرجہ ذیل میں سے کون سا اجرت کے فرق کی بنیاد نہیں ہے؟,زیادہ خطرہ والی نوکری۔|انسانی سرمائے میں سرمایہ کاری۔|SUVs کی پیداوار میں اضافہ۔|نسلی امتیاز۔,high_school_microeconomics,2
پیٹنٹ، وسائل کا کنٹرول، پیمانے کی معیشت، اور خصوصی لائسنس ہیں۔,قیمت میں امتیاز کے لیے تمام تقاضے|قلیل مدتی منافع کمانے کے لیے فرم کے لیے ضروری ہے۔|لچکدار طلب کے تمام ذرائع|داخلے کی تمام رکاوٹیں,high_school_microeconomics,3
وہ صنعت جو پلاسٹک کی فوج کے اعداد و شمار بناتی ہے وہ تمام مقاصد کے لیے مانگے گئے پلاسٹک کا ایک چھوٹا سا حصہ استعمال کرتی ہے۔ اس بنیاد پر، ہم یہ نتیجہ اخذ کر سکتے ہیں کہ فوج کے اعداد و شمار کی صنعت غالباً a(n),بڑھتی ہوئی لاگت کی صنعت|مسلسل لاگت کی صنعت|کم لاگت کی صنعت|منافع بخش صنعت,high_school_microeconomics,1
مندرجہ ذیل میں سے کون سی ممکنہ طور پر پروڈکشن ان پٹ کی ایک مثال ہے جسے طویل مدت میں ایڈجسٹ کیا جا سکتا ہے، لیکن مختصر مدت میں نہیں؟,ایک میز بنانے کے لیے استعمال ہونے والی لکڑی کی مقدار۔|سینڈوچ پر ڈالے گئے اچار کی تعداد۔|میکڈونلڈ کے کچن کا سائز۔|مقامی ہائی اسکولوں میں اساتذہ کے معاونین کی تعداد۔,high_school_microeconomics,2
سیب کی مارکیٹ توازن میں ہے۔ فرض کریں کہ ہم مشاہدہ کرتے ہیں کہ سیب کے کاشتکار سیب کی پیداوار بڑھانے کے لیے زیادہ کیڑے مار ادویات استعمال کر رہے ہیں۔ اسی وقت، ہم سنتے ہیں کہ سیب کے متبادل ناشپاتی کی قیمت بڑھ رہی ہے۔ مندرجہ ذیل میں سے کون سی سیب کی نئی قیمت اور مقدار کے لیے معقول پیش گوئی ہے؟,قیمت بڑھتی ہے، لیکن مقدار مبہم ہے۔|قیمت گرتی ہے، لیکن مقدار مبہم ہے۔|قیمت مبہم ہے، لیکن مقدار بڑھ جاتی ہے۔|قیمت مبہم ہے، لیکن مقدار گرتی ہے۔,high_school_microeconomics,2
مندرجہ ذیل میں سے کس کے نتیجے میں سنتری کے جوس کی مانگ کی وکر میں دائیں جانب تبدیلی کا سب سے زیادہ امکان ہے؟,فلوریڈا میں سنتری کی ایک بڑی فصل|تانگ کی قیمت میں کمی|اورنج جوس کی مستقبل میں کم قیمتوں کی توقعات|جوس پینے والوں میں مستقبل میں زیادہ آمدنی کی توقعات,high_school_microeconomics,3
