answer,subject,choice_3,choice_2,choice_1,choice_0,question
3,management,عالمگیریت,عالمی مقابلہ,عالمی معاشیات,بین الاقوامی تجارت,ایک ملک میں مقابلہ کس حد تک دوسرے ممالک میں مقابلہ سے متاثر ہوتا ہے اس کی اصطلاح کیا ہے؟
3,management,ہنگامی حالات,سرگرمیاں,عمل,انتظامیہ,جیسا کہ اہم عوامل کیا ہیں جو کسی تنظیم کی صورت حال کی عکاسی کرتے ہیں؟
0,management,حل,مسائل,انتخاب کے مواقع,توقعات,ان میں سے کون سی اہم اسٹریمز کا حصہ نہیں بنتا ہے جن کی نشاندہی مارچ (1988) سے انتہائی مبہم ماحول میں فیصلہ سازی میں کی جاتی ہے؟
3,management,سیاسی، معاشی، سماجی، تکنیکی,سیاسی، اقتصادی، اسٹریٹجک، تکنیکی,سیاسی، ماحولیاتی، اسٹریٹجک، تکنیکی,سیاسی، ماحولیاتی، اسٹریٹجک، جانچ,PEST کا مطلب کیا ہے؟
3,management,مخصوص، قابل پیمائش، قابل حصول، انعام یافتہ اور بروقت,معیاری، قابل پیمائش، قابل حصول، انعام یافتہ، اور بروقت,مخصوص، قابل پیمائش، قابل عمل، وسائل اور بروقت,مناسب، قابل پیمائش، قابل عمل، انعام یافتہ اور بروقت,SMART کا مخفف کیا ہے؟
2,management,میو,گولڈنر,ویبر,مرٹن,کون سا مصنف بیوروکریسی کی اہم خصوصیات پر کارکنوں کے ردعمل سے متعلق تھا؟
3,management,مندرجہ بالا میں سے کوئی بھی نہیں۔,7,5,2,کنٹرول کا بہترین دورانیہ کیا ہے؟
3,management,سپلائر,لائن مینجمنٹ,فنکشنل,ایگزیکٹو,ان میں سے کون سی ایک تسلیم شدہ قسم کی اتھارٹی نہیں ہے؟
0,management,کرداروں اور کاموں کے لیے سیال طول و عرض,انفرادی اور اجتماعی ذمہ داری,اجتماعی پیداوار,کم سے کم اور رسمی علم کا اشتراک,مندرجہ ذیل میں سے کون سی ٹیم کی خصوصیت نہیں ہے؟
3,management,تکنیکی,صوابدیدی,اقتصادی,اخلاقی,ان عوامل میں سے کون سا مسابقتی ذمہ داریوں میں سے ایک نہیں ہے جو کارپوریٹ سماجی ذمہ داری کو متاثر کرتی ہے؟
1,management,مارکیٹ کی ترقی,تنوع,مارکیٹ میں دخول,مصنوعات کی ترقی,موجودہ مارکیٹوں میں موجودہ مصنوعات کے ساتھ مارکیٹ شیئر بڑھانے کے لیے Ansoff's matrix میں کون سی اصطلاح استعمال کی جاتی ہے؟
3,management,دور سے,اسی ملک میں,اسی صنعت میں,اسی عمارت میں,ورچوئل ٹیم کے مقام کی کیا خصوصیت ہے؟
3,management,جارحانہ اور ملنسار,حساس اور متجسس,پرسکون اور خود اعتمادی,نیک طبیعت,فائیو فیکٹر ماڈل کے مطابق، ایک شخصیت کی قسم کے طور پر 'ایکسٹراورسیشن' کس قسم کے لوگوں کی خصوصیت ہے؟
1,management,کاروباری بیان,حکمت عملی کا بیان,مشن کا بیان,نقطہ نظر بیان,کسی تنظیم کی اسٹریٹجک سمت کو زیر کرنے والا فلسفہ کیا ہے؟
1,management,SWOT تجزیہ,فنکشنل پلاننگ,حکمت عملی کی تشکیل,ہم آہنگی کی منصوبہ بندی,اس عمل کے لیے کیا اصطلاح ہے جس میں کسی تنظیم کے مینیجرز اپنی تنظیم کی موجودہ صورت حال کا تجزیہ کرتے ہیں اور پھر اس کے مشن کو پورا کرنے اور اپنے مقاصد کو حاصل کرنے کے لیے منصوبے تیار کرتے ہیں؟
1,management,سماجی ترتیب کے طور پر کام کریں۔,کام کی نفسیات,وقت اور حرکت کا مطالعہ,کام کے حالات,فرینک گلبرتھ کا کام کس چیز کے لیے سب سے زیادہ مشہور ہے؟
3,management,منظر نامے کی منصوبہ بندی,کاروباری سطح کی منصوبہ بندی,ایڈہاک منصوبہ بندی,ہم آہنگی کی منصوبہ بندی,ہنگامی منصوبہ بندی کا دوسرا نام کیا ہے؟
3,management,انفرادیت,ترتیب,پہل,ایسپرٹ ڈی کور,کون سی خصوصیت فیول کے انتظام کے 14 اصولوں میں سے ایک نہیں ہے؟
2,management,تاثرات,انعام,خود مختاری,ٹاسک کی شناخت,مندرجہ ذیل میں سے کون سی ملازمت کی خصوصیات کے ماڈل کی خصوصیت نہیں ہے؟
1,management,اجتماعی ثقافت,گروپ کلچر,باہمی تعاون کی ثقافت,ٹیم کلچر,تبدیلی کو کارکنوں کی قبولیت کس قسم کی ثقافت کی خصوصیت ہے؟
0,management,ایک تنظیم جو ویڈیو کانفرنسنگ کے ذریعے افرادی قوت کو مربوط کرتی ہے۔,ایک تنظیم جو ڈیجیٹل ٹیکنالوجیز کا استعمال کرتے ہوئے سپلائی چین کا انتظام کرتی ہے۔,ایک تنظیم جو صارفین کو مصنوعات فروخت کرنے کے لیے انٹرنیٹ ٹیکنالوجیز کا استعمال کرتی ہے۔,ایک تنظیم جو مختلف افعال کے درمیان جسمانی حدود کے بغیر سرگرمیوں کو مربوط کرنے کے لیے معلومات اور مواصلاتی ٹیکنالوجیز (ICT's) کا استعمال کرتی ہے۔,ایک مجازی تنظیم کیا ہے؟
1,management,بعد میں,ترچھی ۔,اوپر سے نیچے,نیچے سے اوپر,کمانڈ کا سلسلہ کس چیز سے پھیلا ہوا ہے؟
