question,choices,subject,answer
"اس بات کا تعین کرنے کے لیے بالواسطہ سچائی جدولوں کا استعمال کریں کہ آیا تجویز کا ہر سیٹ مطابقت رکھتا ہے۔ اگر سیٹ یکساں ہے تو، مستقل تشخیص کے ساتھ ایک آپشن منتخب کریں۔ (دوسری مستقل قیمتیں ہو سکتی ہیں۔)
(T ⊃ U) ⊃ (W ⊃ U)
T ⊃ ~(U ⊃ X)
(T ⊃ ~X) ⊃ ڈبلیو",متضاد|متواتر۔ مسلسل تشخیص جب U، W، اور X درست ہیں اور T غلط ہیں۔|متواتر۔ مستقل تشخیص جب W اور X سچے ہوں اور T اور U غلط ہوں۔|متواتر۔ مستقل تشخیص جب T اور U درست ہیں اور W اور X غلط ہیں۔,formal_logic,1
پیش گوئی کی منطق میں بہترین ترجمہ منتخب کریں: کیرولین پیاری ہے اگر، اور صرف اس صورت میں، جب جینیٹ کی بریڈ سے منگنی ہو۔,Cs ⊃ Ej|Sc ≡ Ej|sC ≡ eJ|Sx ≡ Jy,formal_logic,1
"PL کا کون سا فارمولہ درج ذیل جملے کی بہترین علامت ہے؟
یا تو انگلستان کا گائے کا گوشت درآمد کرنا فرانس کی سبسڈی دینے والی زراعت کے لیے کافی شرط ہے، یا جب جنوبی افریقہ ہیروں کی سپلائی کرتا ہے تب چین انسانی حقوق کو فروغ نہیں دیتا۔",(E ⊃ F) ∨ (~C ⊃ S)|(F ⊃ E) ∨ (S ⊃ ~C|(E ⊃ F) ∨ ~(S ≡ C)|(E ⊃ F) ∨ (~C ≡ S),formal_logic,3
"PL کے دیے گئے فارمولے کو قدرتی، انگریزی جملوں میں ترجمہ کرنے کے لیے درج ذیل کلید کا استعمال کریں۔
A: مرینا پرسی جیکسن کی کتاب پڑھتی ہے۔
B: Izzy Minecraft کھیلتا ہے۔
ج: ایملی کام کرنا چھوڑ دیتی ہے۔
D: رسل رات کا کھانا بناتا ہے۔
ای: ایشلی رک جاتی ہے۔
(~A ∨ ~B) ⊃ C",اگر مرینا نہ تو پرسی جیکسن کی کتاب پڑھتی ہے اور نہ ہی ایزی مائن کرافٹ کھیلتی ہے، تو ایملی کام کرنا چھوڑ دیتی ہے۔|اگر ایسا نہیں ہے کہ مرینا دونوں پرسی جیکسن کی کتاب پڑھتی ہیں اور ایزی مائن کرافٹ کھیلتی ہیں، تو ایملی کام کرنا چھوڑ دیتی ہے۔|یا تو مرینا پرسی جیکسن کی کتاب نہیں پڑھ رہی ہے یا Izzy Minecraft نہیں کھیل رہی ہے اس کا مطلب ہے کہ ایملی کام کرنا چھوڑ دیتی ہے۔|ایملی کا کام کرنا بند کرنا ایک کافی شرط ہے یا تو مرینا پرسی جیکسن کی کتاب نہیں پڑھ رہی ہے یا Izzy Minecraft نہیں کھیل رہی ہے۔,formal_logic,2
مندرجہ ذیل دلیل کے نتیجے کی نشاندہی کریں۔ ایسے لوگ ہیں جو پیش گوئی متغیرات کا استعمال کرتے ہیں؛ ان متغیرات کی قدریں اوصاف ہیں۔ پیشین گوئیاں تمام جملوں میں مطلوب ہیں قطع نظر اس کے کہ حوالہ دینے کے لیے صفات موجود ہیں۔ ڈمی پریڈیکیٹ 'F' عام طور پر نمائشی مقاصد کے لیے مطلوب ہے۔ اگر ہم اوصاف کی مقدار کا تعین کرنے اور ان کا حوالہ دینے جا رہے ہیں، تو وضاحت کو قابل شناخت متغیرات اور مقاصد کے لیے مخصوص ناموں کا استعمال کرتے ہوئے پیش کیا جاتا ہے، اور ان کو پیشین گوئیوں کے ساتھ ملا کر نہیں۔ (کوئن، فلسفہ منطق),ایسے لوگ ہیں جو پیش گوئی متغیرات کا استعمال کرتے ہیں؛ ان متغیرات کی قدریں اوصاف ہیں۔|پیشین گوئیاں تمام جملوں میں مطلوب ہیں قطع نظر اس کے کہ حوالہ دینے کے لیے صفات موجود ہیں۔|ڈمی پریڈیکیٹ 'F' عام طور پر نمائشی مقاصد کے لیے مطلوب ہے۔|اگر ہم اوصاف کی مقدار کا تعین کرنے اور ان کا حوالہ دینے جا رہے ہیں، تو وضاحت کو قابل شناخت متغیرات اور مقاصد کے لیے مخصوص ناموں کا استعمال کرتے ہوئے پیش کیا جاتا ہے، اور ان کو پیشین گوئیوں کے ساتھ ملا کر نہیں۔,formal_logic,3
"PL کے دیے گئے فارمولے کو قدرتی، انگریزی جملوں میں ترجمہ کرنے کے لیے درج ذیل کلید کا استعمال کریں۔
A: مرینا پرسی جیکسن کی کتاب پڑھتی ہے۔
B: Izzy Minecraft کھیلتا ہے۔
ج: ایملی کام کرنا چھوڑ دیتی ہے۔
D: رسل رات کا کھانا بناتا ہے۔
ای: ایشلی رک جاتی ہے۔
~C ∨ D",اگر ایملی کام کرنا بند نہیں کرتی ہے تو رسل رات کا کھانا بناتا ہے۔|ایملی کام کرنا بند کر دیتی ہے جب تک کہ رسل رات کا کھانا نہیں بناتا۔|ایملی اس وقت تک کام کرنا چھوڑ دیتی ہے جب تک کہ رسل رات کا کھانا نہیں بناتا۔|ایملی اس وقت تک کام کرنا بند نہیں کرتی جب تک کہ رسل رات کا کھانا نہ بنائے۔,formal_logic,3
predicate logic میں بہترین ترجمہ منتخب کریں: عبدل اور کلیوپیٹرا مصری ہیں۔,Ea • Ec|Ea • c|Ae ∨ Ce|سابق • ای,formal_logic,0
predicate logic میں بہترین ترجمہ منتخب کریں: Sheena is a punk rocker.,ایس ایکس|xS|ایس پی|پی ایس,formal_logic,3
predicate logic میں بہترین ترجمہ منتخب کریں۔ کیون کو ولما نے جوس سے متعارف کرایا ہے۔ (j: José؛ k: Kevin؛ w: Wilma؛ Ixyz: x y سے z متعارف کرواتا ہے),Iwjk|Ijkw|Ikjw|Iwkj,formal_logic,3
predicate logic میں بہترین ترجمہ منتخب کریں: اگر Eileen fiddle بجاتی ہے تو شیری گاتی ہے۔,Fe ∨ Ss|eF ⊃ Ss|Fe ∨ Es|Fe ⊃ Ss,formal_logic,3
"مندرجہ ذیل دلیل کے لیے ایک مکمل سچائی جدول بنائیں۔ پھر، سچائی کی میز کا استعمال کرتے ہوئے، اس بات کا تعین کریں کہ آیا دلیل درست ہے یا غلط۔ اگر استدلال غلط ہے تو ایک آپشن کا انتخاب کریں جو جوابی مثال پیش کرے۔ (اس کے علاوہ دیگر متضاد مثالیں بھی ہو سکتی ہیں۔)
~C ⊃ D
D ⊃ C/C",درست|غلط جوابی مثال جب C اور D درست ہیں۔|غلط جوابی مثال جب C سچ ہے اور D غلط ہے۔|غلط جوابی مثال جب D درست ہے اور C غلط ہے۔,formal_logic,0
predicate logic میں بہترین ترجمہ منتخب کریں:: کچھ نیلے رنگ کے بگلے ہجرت کرتے ہیں۔,(∀x)[(Hx • Bx) • Mx]|(∃x)[(Hx • Bx) ⊃ Mx]|(∀x)[(Hx • Bx) ⊃ Mx]|(∃x)[(Hx • Bx) • Mx],formal_logic,3
"predicate logic میں دیے گئے دلائل کی بہترین انگریزی تشریح منتخب کریں۔
(∃x)(Cx • بیل)
(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og] / ~Og",کچھ کوکیز میں دلیا ہوتا ہے۔ اگر کوئی چیز کوکی نہ ہونے کا مطلب ہے کہ اس میں چاکلیٹ چپس نہیں ہیں، تو اس کوکی میں دلیا نہیں ہے۔ تو اس کوکی میں دلیا نہیں ہے۔|کچھ کوکیز میں دلیا ہوتا ہے۔ اگر کوئی چیز کوکی نہیں ہے اور اس میں چاکلیٹ چپس نہیں ہے تو اس میں دلیا نہیں ہے۔ تو اس کوکی میں دلیا نہیں ہے۔|کچھ کوکیز میں دلیا ہوتا ہے۔ اگر کسی چیز میں دلیا نہیں ہے، تو یہ کوکی نہیں ہے اور اس میں چاکلیٹ چپس نہیں ہے۔ تو اس کوکی میں دلیا نہیں ہے۔|کچھ کوکیز میں دلیا ہوتا ہے۔ اگر کسی چیز میں چاکلیٹ چپس نہ ہونے کا مطلب یہ ہے کہ یہ کوکی نہیں ہے، تو اس میں دلیا نہیں ہے۔ تو اس کوکی میں دلیا نہیں ہے۔,formal_logic,0
مندرجہ ذیل دلیل کے نتیجے کی نشاندہی کریں۔ تمام نفسیات اخلاقی تعصبات اور خوف میں پھنس چکی ہے۔ کوئی بھی اسے اقتدار کی مرضی کی ترقی سمجھنے کے قریب نہیں پہنچا۔ البتہ اگر کوئی شخص نفرت، حسد، حرص اور حکمرانی کی ہوس کے اثرات کو زندگی کے حالات اور اس کے علاوہ زندگی کی عمومی معیشت کے لیے ضروری عوامل سمجھنے لگے تو وہ سمندری بیماری میں مبتلا ہونے لگے گا۔ اس مقام پر، وہ خود کو کھونا شروع کر دیتا ہے، اور اخلاقیات پر سوار ہو جاتا ہے۔ اس طرح نفسیات دوبارہ بنیادی مسائل کا راستہ بن جاتی ہے۔ (فریڈرک نطشے، نیکی اور بدی سے پرے),تمام نفسیات اخلاقی تعصبات اور خوف میں پھنس چکی ہے۔|کوئی بھی اسے اقتدار کی مرضی کی ترقی سمجھنے کے قریب نہیں پہنچا۔|اگر کوئی شخص نفرت، حسد، حرص اور حکمرانی کی ہوس کے اثرات کو زندگی کے حالات اور اس کے علاوہ زندگی کی عمومی معیشت کے لیے ضروری عوامل سمجھنا شروع کر دے تو وہ سمندر میں مبتلا ہونے لگے گا۔|نفسیات پھر سے بنیادی مسائل کا راستہ بن جاتی ہے۔,formal_logic,3
"اس بات کا تعین کرنے کے لیے بالواسطہ سچائی جدولوں کا استعمال کریں کہ آیا تجویز کا ہر سیٹ مطابقت رکھتا ہے۔ اگر سیٹ یکساں ہے تو، مستقل تشخیص کے ساتھ ایک آپشن منتخب کریں۔ (دوسری مستقل قیمتیں ہو سکتی ہیں۔)
~N ≡ (O · P)
~O ⊃ Q
N · ~ Q",متضاد|متواتر۔ مستقل تشخیص جب N، O، اور P سچے ہوں اور Q غلط ہوں۔|متواتر۔ مستقل تشخیص جب N اور O درست ہیں اور P اور Q غلط ہیں۔|متواتر۔ مستقل تشخیص جب N اور P سچے ہوں اور O اور Q غلط ہوں۔,formal_logic,2
"PL کا کون سا فارمولہ درج ذیل جملے کی بہترین علامت ہے؟
اگر وہ شخص موجودہ سال میں پیدا ہوا یا فوت ہوا اور اس شخص کے زندہ رہنے تک آپ کا گھر اس شخص کا گھر رہا تو اسے موجودہ سال کے تمام عرصے کے لیے آپ کے ساتھ رہنے والا سمجھا جاتا ہے۔",[(B ∨ D) • H] ⊃ L|[L ⊃ (B ∨ D)] • H|L ⊃ [(B ∨ D) • H]|(B ∨ D • H) ⊃ L,formal_logic,0
"مندرجہ ذیل دلیل کے لیے ایک مکمل سچائی جدول بنائیں۔ پھر، سچائی کی میز کا استعمال کرتے ہوئے، اس بات کا تعین کریں کہ آیا دلیل درست ہے یا غلط۔ اگر استدلال غلط ہے تو ایک آپشن کا انتخاب کریں جو جوابی مثال پیش کرے۔ (اس کے علاوہ دیگر متضاد مثالیں بھی ہو سکتی ہیں۔)
(O ≡ P) ∨ P/P ∨ ~O",درست|غلط جوابی مثال جب O اور P درست ہیں۔|غلط جوابی مثال جب O سچ ہے اور P غلط ہے۔|غلط جوابی مثال جب P سچ ہے اور O غلط ہے۔,formal_logic,0
پیش گوئی کی منطق میں بہترین ترجمہ منتخب کریں: لیرائے برا صرف اس صورت میں ہے جب ڈی جے خالد اپنا نام پکارے۔,Sk ≡ Bl|Bl ≡ Sk|Bx ⊃ Sy|Bl ⊃ Sk,formal_logic,3
"PL کا کون سا فارمولہ درج ذیل جملے کی بہترین علامت ہے؟
اگر جارج اندراج کرتا ہے یا ہیری اندراج کرتا ہے، تو ایرا اندراج نہیں کرتی ہے۔",(G ⊃ H) ∨ I|(G ∨ H) ⊃ I|(G ⊃ H) ∨ ~I|(G ∨ H) ⊃ ~I,formal_logic,3
