question,choices,subject,answer
ایک آاسوٹوپ تیار ہونے کے بعد تین آدھی زندگی،,آاسوٹوپ کا 25٪ باقی ہے۔|آاسوٹوپ کا 25 فیصد سڑ گیا۔|آاسوٹوپ کا 12.5% ​​باقی ہے۔|آاسوٹوپ کا 12.5 فیصد سڑ گیا۔,high_school_chemistry,2
ری ایکٹنٹس کے کون سے جوڑے میں کوئی خالص آئنک مساوات نہیں ہوگی (یعنی تمام آئنز منسوخ ہو جائیں گے)؟,Na2SO3 + FeCl2|CaCl2 + MnSO4|NH4I + Pb(NO3)2|KOH + HClO4,high_school_chemistry,1
مندرجہ ذیل میں سے کس کے پانی میں سب سے کم حل ہونے کی امید ہے؟,NaBr|NiSO3|CrCl3|Mn(NO3)2,high_school_chemistry,1
مندرجہ ذیل میں سے کس کے لیے سٹوچیومیٹرک کوفیشینٹس کا استعمال کرتے ہوئے شرح کا قانون لکھا جا سکتا ہے؟,بارش کے رد عمل|ایسڈ بیس رد عمل|ابتدائی عمل|حل پذیری کے رد عمل,high_school_chemistry,2
ایک مائع عنصر جو کمرے کے درجہ حرارت پر گہرے رنگ کا، نان کنڈکٹنگ مادہ ہے۔,پارا|برومین|آیوڈین|بسمتھ,high_school_chemistry,1
ٹیٹراہیڈرل شکل والا مالیکیول ہے۔,PCl4F|BF3|CO2|CBr4,high_school_chemistry,3
مثالی گیس کا قانون زیادہ تر گیسوں کے لیے کامیاب ہے کیونکہ,کمرے کا درجہ حرارت زیادہ ہے|حجم چھوٹے ہیں|گیس کے ذرات نمایاں طور پر تعامل نہیں کرتے ہیں۔|گیسیں dimers ہیں,high_school_chemistry,2
الفا پارٹیکل کیا ہے؟,الیکٹران کا دوسرا نام|ہیلیم نیوکلئس کا دوسرا نام|پوزیٹرون کا دوسرا نام|کائناتی شعاع کا دوسرا نام,high_school_chemistry,1
آپ کا سپروائزر آپ سے کسی خاص کیمیائی رد عمل کے اینتھالپی کا تعین کرنے کو کہتا ہے۔ آپ کون سا کریں گے؟,رد عمل کے لیے ΔS اور ΔG کی پیمائش کریں، اور Gibbs مفت توانائی کی مساوات سے ΔH کا حساب لگائیں۔|رد عمل کی حرارت کی پیمائش کرنے کے لیے بم کیلوری میٹر کا استعمال کریں۔|گرمی کی پیمائش کے لیے حل کیلوری میٹر جیسے کافی کپ کیلوری میٹر کا استعمال کریں۔|مرکبات میں موجود تمام ایٹموں کی توانائیوں کی پیمائش کے لیے فوٹو الیکٹران سپیکٹرومیٹر کا استعمال کریں، اور انہیں شامل کرنے کے لیے ہیس کے قانون کا استعمال کریں۔,high_school_chemistry,2
کسی بھی دو غیر دھاتی ایٹموں کے درمیان بانڈ کی لمبائی درج ذیل میں سے کن شرائط کے تحت حاصل کی جاتی ہے؟,جہاں ایٹموں کے درمیان تعامل کی توانائی اپنی کم سے کم قیمت پر ہوتی ہے۔|جہاں ہر ایٹم کا مرکزہ دوسرے ایٹم کے الیکٹران کی طرف سب سے زیادہ کشش دکھاتا ہے|وہ نقطہ جس پر دو ایٹموں کے درمیان پرکشش اور مکروہ قوتیں برابر ہوں۔|قریب ترین نقطہ جس پر ایک ایٹم سے والینس الیکٹران دوسرے ایٹم میں منتقل ہوسکتا ہے۔,high_school_chemistry,0
پرکلوریٹ آئن میں کلورین کا آکسیکرن نمبر، ClO4–، ہے۔,2|-3|-1|7,high_school_chemistry,3
