answer,subject,choice_3,choice_2,choice_1,choice_0,question
0,virology,Icosahedral وائرس جس میں کوئی جھلی نہیں ہوتی,سرکلر آر این اے جینوم,ایک منقسم RNA جینوم کے ساتھ وائرس,ssRNA وائرس کیپڈ اور پولی ڈینائلیٹڈ RNA کے ساتھ,جینیاتی طور پر فلاوی وائرس مثبت پھنسے ہوئے ہیں اور ان میں درج ذیل میں سے کون سی خصوصیات ہیں؟
0,virology,a اور c. اوپر,ان لوگوں کی شناخت کی حفاظت کریں جو کسی متعدی بیماری سے مر چکے ہیں۔,متاثرہ کی حفاظت کریں۔,غیر متاثرہ افراد کی حفاظت کریں۔,صحت عامہ کا بنیادی مقصد یہ ہے کہ:
2,virology,چھوٹا گول وائرس,کومپیکٹ icosahedron ڈھانچہ,50 سے زیادہ قسم کے اسپائکس کے ساتھ بیگی ویرون,ایک جھلی اور ٹیگومنٹ اور آئیکوشیڈرون کور کے ساتھ پیچیدہ,ہرپس ویرون کی مورفولوجی کیا ہے؟
3,virology,ایکولوجک اسٹڈی,طبی آزمائش,کیس کنٹرول اسٹڈی,کوہورٹ اسٹڈی,"ایک تفتیش کار کو شبہ ہے کہ حمل کے پہلے سہ ماہی کے دوران ایسیٹامنفین کا استعمال نیورل ٹیوب کی خرابیوں کا سبب بن سکتا ہے۔ اس کا اندازہ ہے کہ عام آبادی میں نیورل ٹیوب کی خرابی کا خطرہ 1:1,000 ہے۔ مفروضے کی چھان بین کے لیے مندرجہ ذیل میں سے کون سا مطالعہ کا بہترین ڈیزائن ہے؟"
0,virology,تمام وائرسوں کی ایک جیسی بنیادی جیومیٹری ہوتی ہے۔,نیوکلک ایسڈ عام طور پر لکیری ہوتا ہے۔,تمام وائرسوں میں لپڈ بائلیئر ہوتا ہے۔,وائرس نیوکلیو کیپسڈ یا تو آئیکوشیڈرل یا ہیلیکل ہوتے ہیں۔,مختلف خاندانوں کے وائرسوں کی ہندسی ساخت مختلف ہوتی ہے۔ مندرجہ ذیل میں سے کون سا سچ ہے؟
0,virology,0.00%,1%,صفر,90%,آبادی کے کتنے فیصد میں پولیما وائرس فیملی کے اینٹی باڈیز ہیں۔
3,virology,اوپر کا سارا,حالیہ انٹرنیٹ پارٹنرز کے ساتھ جنسی تعلقات,میتھیمفیٹامین کا استعمال,ایچ آئی وی انفیکشن,MSM میں، ابتدائی آتشک کے ساتھ منسلک پایا گیا تھا:
1,virology,وائرل DNA پر منحصر DNA پولیمریز کی کارروائی کی رفتار,mRNA splicing کی اہمیت اور تعدد,ڈی این اے کی نقل تیار کرنے کا طریقہ کار,RT کا فنکشن,مندرجہ ذیل میں سے کون سی سالماتی حیاتیات کی ایک بڑی دریافت تھی جب اڈینو وائرس کی نقل تیار کرنے کی حکمت عملی کا پردہ فاش ہوا؟
2,virology,(40/70)/(20/60),(40*70)/(20*60),(40*40)/(20*30),(40/30)/(20/40),ذیابیطس کے مریضوں میں ایک مشاہداتی مطالعہ دل کے واقعات کے خطرے پر پلازما فائبرنوجن کی بڑھتی ہوئی سطح کے کردار کا اندازہ کرتا ہے۔ ایکیوٹ کورونری سنڈروم کی نشوونما کا اندازہ لگانے کے لیے ذیابیطس کے 130 مریضوں کو 5 سال تک فالو کیا جاتا ہے۔ 60 مریضوں کے گروپ میں جن میں عام بیس لائن پلازما فائبرنوجن لیول ہے، 20 میں ایکیوٹ کورونری سنڈروم ہوتا ہے اور 40 ایسا نہیں کرتے۔ 70 مریضوں کے گروپ میں جن میں پلازما فائبرنوجن کی سطح زیادہ ہوتی ہے، 40 میں ایکیوٹ کورونری سنڈروم ہوتا ہے اور 30 ​​ایسا نہیں کرتے۔ عام بیس لائن پلازما فائبرنوجن لیول والے مریضوں کے مقابلے میں اعلی بیس لائن پلازما فائبرنوجن لیول والے مریضوں میں رشتہ دار خطرے کا درج ذیل میں سے کون سا بہترین تخمینہ ہے؟
0,virology,گلے کا جھاڑو,پاخانے کے نمونے۔,خون,جگر کی بایپسی,ہیپاٹائٹس بی کی تشخیص کے لیے کون سا طبی نمونہ استعمال کیا جاتا ہے؟
2,virology,سیل سے وائرس کا اخراج,وائرس آر این اے اور ڈی این اے کی نقل,وائرس کی رسائی,وائرس جذب,نقل کے چکر میں کون سا نقطہ اینٹی وائرلز کے ذریعہ سب سے زیادہ آسانی سے مسدود ہوتا ہے؟
2,virology,قدرتی طور پر پائے جانے والے 'جنگلی' وائرس کی بازیافت جو قدرتی طور پر کم وائرل ہے۔,کم زہریلا اتپریورتی پیدا کرنے کے لئے براہ راست بے ترتیب mutagenesis,بطور (a) لیکن کم درجہ حرارت (33oC) کا استعمال کرتے ہوئے سرد موافقت پذیر اتپریورتیوں کو منتخب کریں۔,ایک خلیے سے خلیے تک زندہ وائرس کی منتقلی اور کم خطرناک اتپریورتیوں کی تلاش,کامیاب ویکسین کی دریافت کے لیے عملی لحاظ سے وائرس کی کشیدگی کیا ہے؟
0,world_religions,قابل ستائش,غیر قانونی,غیر جانبدار,مجرمانہ,مندرجہ ذیل میں سے کون سا شرعی قانون کا زمرہ نہیں ہے؟
2,world_religions,گرو امر داس,گرو ارجن,گرو رام داس,گرو نانک,دربار صاحب کی تعمیر کا حکم کس گرو نے دیا تھا جسے خدائی دربار بھی کہا جاتا ہے؟
0,world_religions,گوماداکی,نمبوتسو,سامرائی,بشیڈو,"یاماگو سوکو نے ""جنگجو کا راستہ"" تخلیق کیا، جسے درج ذیل میں سے کس کے نام سے جانا جاتا ہے؟"
3,world_religions,اوپر کا سارا,مصائب کے لیے دعا,خواتین کو بپتسمہ کے لیے تیار کرنا,بیماروں کی خدمت کرنا,مندرجہ ذیل میں سے کون سا ڈیکنیس کے کردار کا حصہ تھا؟
1,world_religions,Synods,گرجا گھروں,دیکھتا ہے۔,پریسبیٹریز,کون سی اصطلاح پانچ اہم علاقوں کی طرف اشارہ کرتی ہے جن میں ابتدائی عیسائیت کو تقسیم کیا گیا تھا؟
3,world_religions,آگسٹین,ایریس,اینسلم,جان,اس ماہر الہیات کا نام کیا ہے جس نے پیلیگیس کے خلاف بحث کی؟
3,world_religions,پیشگوئی,گلوسولیا,مایا فیسٹزم,نقل و حمل,جین کیلون مندرجہ ذیل میں سے کس نظریے پر زور دینے کے لیے جانا جاتا ہے؟
0,world_religions,تبتی,تھیرواد,پاک سرزمین,زین,بدھ مت کی کون سی شکل سب سے پہلے شمالی امریکہ میں اہم قدم جمانے والی تھی؟
0,world_religions,وانگ یانگمنگ,چاؤ ڈونی,بدھا۔,میتریہ (ملو),عظیم کلاؤڈ سترا نے کس شخص کی آسنن آمد کی پیشین گوئی کی؟
0,world_religions,ڈاسپورا,فسح,سیڈر,شوہ,عبرانی لفظ کیا ہے جو نازیوں کے نسل کشی کے تباہ کن پروگرام کے لیے استعمال ہوتا ہے؟
1,world_religions,ہونجی سویجاکو,رشو کوسیکائی,اوم شنریکیو,Shinnyo-en,کس جدید فرقے کا خیال تھا کہ جاپانی معاشرے کو ایک apocalypse کے ذریعے پاک کرنے کی ضرورت ہے؟
0,world_religions,36,12,60,48,جین کے عقیدت مند روزانہ کتنے منٹ مراقبہ یا عکاسی کرتے ہیں؟
2,world_religions,ہفتوں کا تہوار,روشنیوں کا تہوار,تورات دینے کا تہوار,بوتھوں کا تہوار,ہنوکا کا انگریزی نام کیا ہے؟
1,world_religions,گوماداکی,سامرائی,کوکوگاکو,کامی,"کس تحریک نے ""حقیقی"" جاپانی روحانی روایات کے حق میں کنفیوشس اور بدھ مت کو مسترد کیا؟"
0,world_religions,ارادہ,مراقبہ,غور و فکر,غیر عمل,ووئی کے داؤسٹ تصور کا مطلب مندرجہ ذیل میں سے کون سا ہے؟
0,world_religions,گرو ہرگوبند,گرو گوبند سنگھ,اس کا بیٹا,گرو انگد,گرو نانک کا فوری جانشین کون تھا؟
1,world_religions,"""عظیم رہنما""","""روشن روح""","""عظیم روح""","""روشن خیال رہنما""","گاندھی کے لقب ""مہاتما"" کا کیا مطلب ہے؟"
2,world_religions,تخلیق کی کہانی,دس احکام,عہد نامہ,خروج,Decalogue کیا ہے؟
0,world_religions,غیرت مند,ایسنس,فریسی,صدوقی,کس یہودی گروہ نے تورات کی مختصر اور لفظی تشریح کا مطالبہ کیا؟
